2025-07-19 11:49:49 - GET /docs | Status: 200 | Success: True | Took: 0.0095s
[2025-07-26 12:08:07] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.0398s
[2025-07-26 12:08:07] GET /auth/whoami | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0015s
[2025-07-26 12:08:07] GET /auth/whoami | 👤 InvalidToken | 📍 testclient | Status: 200 | ⏱️ 0.003s
[2025-07-26 12:08:07] GET /auth/whoami | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:08:07] GET /auth/whoami | 👤 Unknown | 📍 testclient | Status: 403 | ⏱️ 0.001s
[2025-07-26 12:08:07] GET /auth/whoami | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.001s
[2025-07-26 12:08:07] GET /auth/whoami | 👤 InvalidToken | 📍 testclient | Status: 401 | ⏱️ 0.002s
[2025-07-26 12:12:23] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:12:23] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.0334s
[2025-07-26 12:12:23] POST /pokemon | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:12:23] POST /pokemon | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:12:23] POST /pokemon/ | 👤 InvalidToken | 📍 testclient | Status: 403 | ⏱️ 0.0162s
[2025-07-26 12:12:23] GET /pokemon | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:12:23] GET /pokemon | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:12:23] GET /pokemon/ | 👤 Unknown | 📍 testclient | Status: 403 | ⏱️ 0.0s
[2025-07-26 12:12:23] GET /pokemon/type/Fire | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0007s
[2025-07-26 12:12:23] GET /pokemon/type/Fire | 👤 Unknown | 📍 testclient | Status: 404 | ⏱️ 0.001s
[2025-07-26 12:12:23] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:12:23] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.0s
[2025-07-26 12:12:23] PATCH /pokemon/info/1 | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:12:23] PATCH /pokemon/info/1 | 👤 InvalidToken | 📍 testclient | Status: 404 | ⏱️ 0.002s
[2025-07-26 12:12:23] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:12:23] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.0044s
[2025-07-26 12:12:23] DELETE /pokemon/1 | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:12:23] DELETE /pokemon/1 | 👤 InvalidToken | 📍 testclient | Status: 403 | ⏱️ 0.0047s
[2025-07-26 12:29:08] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:29:09] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.0338s
[2025-07-26 12:29:09] POST /pokemon | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:29:09] POST /pokemon | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:29:09] POST /pokemon/ | 👤 InvalidToken | 📍 testclient | Status: 403 | ⏱️ 0.0026s
[2025-07-26 12:29:09] GET /pokemon | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:29:09] GET /pokemon | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:29:09] GET /pokemon/ | 👤 Unknown | 📍 testclient | Status: 403 | ⏱️ 0.001s
[2025-07-26 12:29:09] GET /pokemon/type/Fire | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:29:09] GET /pokemon/type/Fire | 👤 Unknown | 📍 testclient | Status: 404 | ⏱️ 0.0026s
[2025-07-26 12:29:09] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:29:09] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.004s
[2025-07-26 12:29:09] PATCH /pokemon/info/1 | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:29:09] PATCH /pokemon/info/1 | 👤 InvalidToken | 📍 testclient | Status: 404 | ⏱️ 0.0s
[2025-07-26 12:29:09] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:29:09] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.0s
[2025-07-26 12:29:09] DELETE /pokemon/1 | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
