[2025-07-26 23:09:32,400] [ERROR] POST /upload/image → 400: ❌ File type '.txt' not allowed. Must be CSV or image only.
[2025-07-26 23:21:42,993] [ERROR] 🚫 Forbidden: 'ashketchum' lacks 'admin' role
[2025-07-26 23:21:42,993] [ERROR] POST /upload/secure-image → 403: Forbidden: You are not authorized
[2025-07-26 23:21:43,337] [ERROR] 🚫 Forbidden: 'ashketchum' lacks 'admin' role
[2025-07-26 23:21:43,347] [ERROR] POST /upload/secure-image → 403: Forbidden: You are not authorized
[2025-07-26 23:21:43,428] [ERROR] 🚫 Forbidden: 'ashketchum' lacks 'admin' role
[2025-07-26 23:21:43,432] [ERROR] POST /upload/multi-image → 403: Forbidden: You are not authorized
[2025-07-26 23:21:43,500] [ERROR] 🚫 Forbidden: 'ashketchum' lacks 'admin' role
[2025-07-26 23:21:43,500] [ERROR] POST /upload/multi-image → 403: Forbidden: You are not authorized
[2025-07-26 23:23:12,016] [ERROR] 🚫 Forbidden: 'ashketchum' lacks 'admin' role
[2025-07-26 23:23:12,016] [ERROR] POST /upload/secure-image → 403: Forbidden: You are not authorized
[2025-07-26 23:23:12,368] [ERROR] 🚫 Forbidden: 'ashketchum' lacks 'admin' role
[2025-07-26 23:23:12,368] [ERROR] POST /upload/secure-image → 403: Forbidden: You are not authorized
[2025-07-26 23:23:12,436] [ERROR] 🚫 Forbidden: 'ashketchum' lacks 'admin' role
[2025-07-26 23:23:12,436] [ERROR] POST /upload/multi-image → 403: Forbidden: You are not authorized
[2025-07-26 23:23:12,514] [ERROR] 🚫 Forbidden: 'ashketchum' lacks 'admin' role
[2025-07-26 23:23:12,514] [ERROR] POST /upload/multi-image → 403: Forbidden: You are not authorized
[2025-07-26 23:40:32,837] [ERROR] ❌ Upload failed: 400: ❌ File type '.exe' not allowed. Must be CSV or image only.
[2025-07-26 23:40:32,935] [ERROR] ❌ Skipped file 'bad.txt': 400: ❌ File type '.txt' not allowed. Must be CSV or image only.
[2025-07-26 23:40:32,936] [ERROR] ❌ Skipped file 'script.exe': 400: ❌ File type '.exe' not allowed. Must be CSV or image only.
[2025-07-26 23:40:32,936] [ERROR] ❌ No valid image files uploaded by professoroak
[2025-07-26 23:41:51,143] [ERROR] GET /gallery → 401: Not authenticated
[2025-07-26 23:45:08,939] [ERROR] 🚫 Forbidden: 'ashketchum' lacks 'admin' role
[2025-07-26 23:45:08,943] [ERROR] POST /upload/secure-image → 403: Forbidden: You are not authorized
[2025-07-26 23:45:08,964] [ERROR] POST /upload/secure-image → 403: Not authenticated
[2025-07-26 23:48:30,064] [ERROR] 🚫 Forbidden: 'ashketchum' lacks 'admin' role
[2025-07-26 23:48:30,066] [ERROR] POST /upload/secure-image → 403: Forbidden: You are not authorized
[2025-07-26 23:48:30,095] [ERROR] POST /upload/secure-image → 403: Not authenticated
